"","RNC","Discrepancy_Text","Issue"
"137","Q321010148-6","METHODS* WERE FOUND 2 ZONES WITH GAP IN FS 945 RH, STRG 5 (IML). ZONE #1 PARTS INVOLVED SKIN, UPPER PANEL, AFT FUSE (G05361001_`103). FRAME, FS945.75, AFT FUSE (G05362350_`104). S\B FASTENER B0206002AG5 ZONE #2 PARTS INVOLVED FRAME, FS945.75, AFT FUSE (G05362350_`104). SPLICE, FRAME, AFT FUSE (G05362822_`101). S\B FASTENER B0206001AG5. SEE ATTACHMENTS AND MEASUREMENTS.",2
"103","Q321008203-2","METHODS* THERE ARE 2 GAPS IN THE ASSY LOCATION WL 71.10 FS 897.00 AFFECTED PARTS ‚<U+0080>¢ A) NO GAP ‚<U+0080>¢ G05364275_`005 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ LENGTH:1.8‚<U+0080>ù ‚<U+0080>¢ B/P:B206001AG6_`6 ‚<U+0080>¢ B/P:B0201074_`4K13 ‚<U+0080>¢ B) GAP ‚<U+0080>¢ G05364111_`003 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ GAP IS .012"" ‚<U+0080>¢ LENGTH:1.6‚<U+0080>ù ‚<U+0080>¢ B/P:B0201074_`5K15 ‚<U+0080>¢ C) NO GAP ‚<U+0080>¢ G05364161_`003 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ B/P:B0201074_`5K15 ‚<U+0080>¢ D) NO GAP ‚<U+0080>¢ G05364110_`005 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ B/P:B0201074_`5K15 ‚<U+0080>¢ E) NO GAP ‚<U+0080>¢ G05364204_`103 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ B/P:B0201074_`5K15 ‚<U+0080>¢ F) NO GAP ‚<U+0080>¢ G05364112_`007 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ B/P:B0201074_`5K15 G) NO GAP ‚<U+0080>¢ G05364178_`001 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ B/P:B0201074_`5K15 H) GAP ‚<U+0080>¢ G05364113_`103 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ GAP IS .012"" ‚<U+0080>¢ LENGTH:1.6‚<U+0080>ù ‚<U+0080>¢ B/P:B0201074_`5K15 I) NO GAP ‚<U+0080>¢ G05364275_`006 QTY 1 ‚<U+0080>¢ G05365500_`003 QTY 1 ‚<U+0080>¢ NO GAP FOUND HOLES ARE OPENED THE POSITION OF FLOOR IS FINAL NOTE INSPECTION SI DONE WITH WESLOCK FIXED TO ASSY FOR POSITION SEE ATTACHMENTS",2
"141","Q321010148-10","METHODS* WERE FOUND 2 ZONES WITH GAP IN FS 864 LH, STRG 5 (IML). ZONE #1 PARTS INVOLVED SKIN, UPPER PANEL, AFT FUSE (G05361001_`103). FRAME, FS 864.00, UPPER, AFT FUSE LH (G05362402_`103). S\B FASTENER B0206002AG6. ZONE #2 PARTS INVOLVED FRAME, FS 864.00, UPPER, AFT FUSE LH (G05362402_`103). SPLICE, FRAME, AFT FUSE (G05362821_`101). S\B FASTENER B0206001AG5. SEE ATTACHMENTS AND MEASUREMENTS.",2
"62","Q321006002-1","METHODS* RFC 3000167678 REF. NCR Q321003584 AND Q321005981 ‚<U+0080><U+009C>AN EXTENSION HAS BEEN REQUIRED AT THIS NCR TO COVER 011 AIRCRAFTS FROM 70105 TO 70115, EXTENSION REQUEST BASED ON QAPI 3.8.8.2.1.4 REV 6.0‚<U+0080>ù IN THE FRAME, FS 881.00, AFT FUSE RH (G05362830_`107) THERE IS A TOOLING HOLE WHEN INSTALLING THE BRACKET, GROUND (G05379403_`101) THAT HAS A BONDING, THAT AREA IS EXPOSED TO CONTAMINANTS AND HUMIDITY. THE DRAWING DOES NOT REFER TO PROTECTING THE TOOLING HOLE BUT ACCORDING TO BAPS 145_`002 EXPOSED AREAS MUST BE PROTECTED. NOTE: TO MEET THE MINIMUM FILLET SEAL OF .150 ACCORDING TO BAPS 157_`028 THE DIAMETER OF THE TOLLING HOLE SHOULD BE .300"" CURRENT DIAMETER .250"" SEE ATTACHMENTS FOR DETAIL.",6
"149","Q321010560-1","METHODS* IN PART NUMBER G05362310_`103_`03 (FRAME, FS904.85, AFT FUSE LH), THERE ARE 2 SPOT DRILL. ACTUAL CONDITION: SPOT DRILL 1 (ATTACHMENT 1: LENGTH: .070‚<U+0080><U+0099>‚<U+0080><U+0099> WIDTH: .070‚<U+0080><U+0099>‚<U+0080><U+0099> DEEP:.007‚<U+0080><U+0099>‚<U+0080><U+0099> DIAMETER TO CLEAN: .247‚<U+0080><U+0099>‚<U+0080><U+0099> SPOT DRILL 2 (ATTACHMENT 2): LENGTH: .070‚<U+0080><U+0099>‚<U+0080><U+0099> WIDTH: .050‚<U+0080><U+0099>‚<U+0080><U+0099> DEEP: .003‚<U+0080><U+0099>‚<U+0080><U+0099> PLEASE SEE ATTACHMENTS FOR DETAILS.",1
"73","Q321006126-1","METHODS* LOCATION : FS 1016, SGTR 17 RH EXIST A LOW CLEARANCE BTWN FRAME, FRONT SPAR, REAR FUSE (G05363534_`113_`04) AND STRINGER 17, AFT FUSE (G05362177_`102). LENGTH 0.250‚<U+0080>ù CLEARANCE 0.030‚<U+0080>ù MIN CLEARANCE AS PER CATIA MODEL IS .055"" ADDITIONAL INFORMATION CLEARANCES BTWN AJACENT STGRS AND FRAME: _` STRINGER 15 RH ‚<U+0080><U+0093>FRAME : 0.230‚<U+0080>ù _` STRINGER 16 RH_`FRAME: 0.240‚<U+0080>ù _` STRINGER 18 RH_`FRAME : 0.250‚<U+0080>ù _` STRINGER 19 RH_`FRAME : 0.150‚<U+0080>ù NOTE: PANEL ASSY G05362500_`003 INSTALLED COMMON WITH FRAME AS PER DWG G05360010_`003, CAUSE OF ACTUAL CONDITION IS UNKNOWN SEE ATTACHMENT",1
"131","Q321009977-1","METHODS* LOCATION : FS 1016, SGTR 17 LH EXIST A LOW CLEARANCE BTWN FRAME, FRONT SPAR, REAR FUSE (G05363534_`113_`04) AND STRINGER 17, AFT FUSE (G05362177_`101) MIN CLEARANCE AS PER CATIA MODEL IS .055"" ACTUAL CONDITION: LENGTH 0.300‚<U+0080>ù CLEARANCE OF 0.030‚<U+0080>ù ADDITIONAL INFORMATION: CLEARANCES BTWN AJACENT STGRS AND FRAME: _` STRINGER 15 LH ‚<U+0080><U+0093>FRAME : 0.210‚<U+0080>ù _` STRINGER 16 LH_`FRAME: 0.260‚<U+0080>ù _` STRINGER 18 LH_`FRAME : 0.220‚<U+0080>ù _` STRINGER 19 LH_`FRAME : 0.150‚<U+0080>ù SEE ATTACHMENT",1
"122","Q321009187-1","METHODS* REF C121010787 ( SIMILAR CONDITION GENERAED BUT @FS 864) WAS FOUND EXCESSIVE GAP IN G05361000_`003 PANEL ASSY, UPPER, AFT FUSE AND G05362402_`103 FRAME, FS 864.00, UPPER, AFT FUSE LH LOCATION REFERENCE: FS 881, STR 5 LH AND STR 6 LH COMMON PARTS: G05362402_`103 FRAME, FS 864.00, UPPER, AFT FUSE LH G05361001_`103 SKIN, UPPER PANEL, AFT FUSE ITEM 1 GAP FOUND: 0.021"" TO 0.027‚<U+0080><U+0099>‚<U+0080><U+0099> TAPER LENGTH TOTAL: 3.700‚<U+0080>ù W: .850'' B/P: B0206002AG6_`4/ B0206016CY6 B0206002AG6_`3/ B0206016CY6. COMMON PARTS: G05362821_`101 SPLICE, FRAME, AFT FUSE G05362402_`103 FRAME, FS 864.00, UPPER, AFT FUSE LH G05361303_`103 FRAME, FS 864.00, AFT FUSE UPPER ITEM 2 GAP FOUND: 0.004¬¥¬¥ TO 0.024‚<U+0080><U+0099>‚<U+0080><U+0099> TAPER LENGTH TOTAL OF GAP : 2.1‚<U+0080>ù WIDTH IS .750‚<U+0080>ù B/P: B0206001AG5_`3/ B0206016CY5 SEE ATTACHMENTS FOR DETAIL",2
"16","Q321002701-1","METHODS* LOCATION: FS 961 STGR 21_`22 L/H THERE ARE LOW CLEARANCE CONDITION BETWEEN FITTING, FWD ENGINE FRAME (G05366015_`101) & CLEAT, AFT FUSE (G05362078_`101) ACTUAL CONDITION S/B CLEARANCE AS PER 3D MODEL .086‚<U+0080>ù IS CLEARANCE .013‚<U+0080>ù NEAR HOLE TO DIA .160‚<U+0080><U+009C> FASTENER B/P B0206001AG5 ED MIN .350‚<U+0080><U+009C> SEE ATTACH FOR MORE DETAIL",1
"156","Q321010757-2","METHODS* IN PART NUMBER G05372236_`101(BRACKET, LP SYSTEM), EXIST MISLOCATION HOLES. THE NUMBERS OF PART CANNOT BE USED IN ASSY. PART NUMBER IS OBVIOUS SCRAP.",8
