"","RNC","Discrepancy_Text","Issue"
"37","Q321004972-1","DESIGN* REFER TO NCR Q321000138 FOR PREVIOUS NCR CREATED TO RAISE EXTENSION FOR SAME ISSUE REFER TO NCR Q319015817, Q320000807, Q320002337, Q320002386, Q320004945, Q32009007, Q320018992 FOR SAME DISCREPANCY THIS NCR REQUIRES AN EXTENSION FOR 10 A/C, TO COVER UP TO A/C 70110 DUE TO CONSISTENT REPETITIVE ISSUE DAMAGING TUBE, FLEXIBLE (B0305127_`4_`0060), CLAMP HAS NOT YET BEEN INSTALLED. _`_`_`_`_`_` AS PER PREVIOUS DWG, CLAMP S/B B0305078_`06 BUT GENERATES DAMAGE DUE TO BAND SLOTS (ATTACHMENT 003) AS PER NEW DWG REVISION, CLAMP S/B NAS1922_`0050 PER BAPS 174_`006 (2 TURNS OF TAPE), BUT TUBE IS STILL DAMAGED LATEST TESTING EVIDENCE POINTS NAS1922_`0050 WITH 6 TURNS OF PRESSURE SENSITIVE TAPE TO BE BEST OPTION (AS PER NCR Q321000138 DISPOSITION 1.0) _`_`_`_`_`_` PLEASE PROVIDE DISPOSITION IN ORDER TO INSTALL CONFORMING CLAMP AS PER LATEST DISPOSITION ON THE ISSUE. NOTES: _` DOCUMENTATION ON ENGINEERING REQUIRED TESTING WAS ALL INCLUDED IN REFERENCE NCR Q320015415. _` WHEN EXECUTING LATEST PROPOSED DISPOSITION (E.G. Q321000138_`001, DISPOSITION 1.0), NO ISSUES ARE FOUND. _` REFER TO ATTACHMENTS FOR METHODS ORIGINAL INVESTIGATION AND EVIDENCE GENERATED ON PREVIOUS NCR. PLEASE ADVISE.",1
"93","Q321008681-1","METHODS* REFER TO NCR Q321002445 FOR LATEST ENGINEERING DISPOSITION SIMILAR DISCREPANCY RAISED IN Q320018817, Q320019922, Q320020524, Q320021109, Q320021892, Q321005979, Q321007533 AS PER NEW G05364510 DRAWING REVISION (REV. J), QTY 4 NAS1149D0363J WASHERS ARE REQUIRED FOR ATTACHMENT 004 LOCATIONS IN ASSEMBLY. THIS CHANGE WAS CREATED TO ENSURE 0.030"" CLEARANCE AS PER NEWLY ADDED NOTE 30 ON SAME ENGINEERING DRAWING. NEVERTHELESS, AS PER METHODS COMMENTS AFTER CONDITION WAS REVIEWED, DWG NAS1149D0363J WASHER IS NOT CAPABLE OF PROVIDING REQUIRED 0.030"" CLEARANCE WITH ASSEMBLY CONDITION AS IS. PRODUCTION FOLLOWED LATEST ENGINEERING DISPOSITION AND INSTALLED: QTY 1 NAS1149D0363J WASHER + QTY 1 NAS1149D0332J WASHER ON EACH LOCATION LOW CLEARANCE CONDITION WAS FULLY ELIMINATED. ACTUAL CLEARANCE 0.036"" (LHS), 0.032"" (RHS) REQUIRED CLEARANCE 0.030"" (AS PER DWG NOTE 30) PLEASE PROVIDE DISPOSITION IN ORDER TO APPROVE THE USE OF QTY 1 NAS1149D0363J WASHER + QTY 1 NAS1149D0332J WASHER ON EACH LOCATION, AS PER REFERENCE NCR Q321000814 DISPOSITION. ____ ADDITIONAL CONSIDERATIONS: _` RIVET INSTALLATION IS FULLY CONFORMANT WITH APPLICABLE DWG AND BAPS REQUIREMENTS. _` SAFETY CABLE INSTALLATION MEETS EVERY BAPS 150_`003 REQUIREMENT. _` NO GAPPING CONDITION BETWEEN BOLT/WASHER AND STRUCTURE. _` THERE IS NO ACCESS (BLADDER INSTALLED) TO BRING UPSET RIVET HEAD DOWN THROUGH REGULAR PROCESSES. _` LEAK TEST ""FUEL TANK _` BLADDER & SYSTEMS INSTALLED"" HAS ALREADY BEEN COMPLETED AS PER MX770_`281001_`004 SECTIONS 5.2.1 TO 5.2.3. DUE TO THIS CONDITION, BLADDER REMOVAL WOULD IMPLY SERIOUS REWORK. REFER TO ATTACHMENTS FOR MORE DETAILS.",11
"55","Q321005910-1","DESIGN* REFER TO NCR Q321000138 FOR PREVIOUS NCR CREATED TO RAISE EXTENSION FOR SAME ISSUE THIS NCR REQUIRES AN EXTENSION FOR 8 A/C, TO COVER UP TO A/C 70110 DUE TO CONSISTENT REPETITIVE ISSUE DAMAGING TUBE, FLEXIBLE (B0305127_`4_`0060), CLAMP HAS NOT YET BEEN INSTALLED. _`_`_`_`_`_` AS PER PREVIOUS DWG, CLAMP S/B B0305078_`06 BUT GENERATES DAMAGE DUE TO BAND SLOTS (ATTACHMENT 003) AS PER NEW DWG REVISION, CLAMP S/B NAS1922_`0050 PER BAPS 174_`006 (2 TURNS OF TAPE), BUT TUBE IS STILL DAMAGED REFER TO NCR Q3210015415 FOR CONDITION WITH 2 TURNS OF TAPE LATEST TESTING EVIDENCE POINTS NAS1922_`0050 WITH 6 TURNS OF PRESSURE SENSITIVE TAPE TO BE BEST OPTION TORQUE 14_`15 LBS_`IN (AS PER NCR Q321000138 DISPOSITION 1.0) _`_`_`_`_`_` PLEASE PROVIDE DISPOSITION IN ORDER TO INSTALL CONFORMING CLAMP AS PER LATEST DISPOSITION ON THE ISSUE. NOTES: _` DOCUMENTATION ON ENGINEERING REQUIRED TESTING WAS ALL INCLUDED IN REFERENCE NCR Q320015415. _` WHEN EXECUTING LATEST PROPOSED DISPOSITION (E.G. Q321000138_`001, DISPOSITION 1.0), NO ISSUES ARE FOUND. _` REFER TO ATTACHMENTS FOR METHODS ORIGINAL INVESTIGATION AND EVIDENCE GENERATED ON PREVIOUS NCR. PLEASE ADVISE.",1
"40","Q321004975-1","DESIGN* REFER TO NCR Q321000138 FOR PREVIOUS NCR CREATED TO RAISE EXTENSION FOR SAME ISSUE REFER TO NCR Q319015817, Q320000807, Q320002337, Q320002386, Q320004945, Q32009007, Q320018992 FOR SAME DISCREPANCY THIS NCR REQUIRES AN EXTENSION FOR 10 A/C, TO COVER UP TO A/C 70110 DUE TO CONSISTENT REPETITIVE ISSUE DAMAGING TUBE, FLEXIBLE (B0305127_`4_`0060), CLAMP HAS NOT YET BEEN INSTALLED. _`_`_`_`_`_` AS PER PREVIOUS DWG, CLAMP S/B B0305078_`06 BUT GENERATES DAMAGE DUE TO BAND SLOTS (ATTACHMENT 003) AS PER NEW DWG REVISION, CLAMP S/B NAS1922_`0050 PER BAPS 174_`006 (2 TURNS OF TAPE), BUT TUBE IS STILL DAMAGED LATEST TESTING EVIDENCE POINTS NAS1922_`0050 WITH 6 TURNS OF PRESSURE SENSITIVE TAPE TO BE BEST OPTION (AS PER NCR Q321000138 DISPOSITION 1.0) _`_`_`_`_`_` PLEASE PROVIDE DISPOSITION IN ORDER TO INSTALL CONFORMING CLAMP AS PER LATEST DISPOSITION ON THE ISSUE. NOTES: _` DOCUMENTATION ON ENGINEERING REQUIRED TESTING WAS ALL INCLUDED IN REFERENCE NCR Q320015415. _` WHEN EXECUTING LATEST PROPOSED DISPOSITION (E.G. Q321000138_`001, DISPOSITION 1.0), NO ISSUES ARE FOUND. _` REFER TO ATTACHMENTS FOR METHODS ORIGINAL INVESTIGATION AND EVIDENCE GENERATED ON PREVIOUS NCR. PLEASE ADVISE.",1
"62","Q321005967-1","DESIGN* REFER TO NCR Q321005154 FOR SAME REPETITIVE DISCREPANCY A DISCREPANCY WAS FOUND BETWEEN BAPS 155_`005, REV. A, AND MANUFACTURER'S HANDLING INFORMATION FOR EC847 ADHESIVE, USED FOR QTY 66 VELCRO HOOK INSTALLATION (AS PER ENGINEERING DRAWING G05364510, REV. J). AS PER BAPS 155_`005, REV. A, TO PERFORM INSTALLATION ALLOW ADHESIVE DRY UNTIL TACKY AS PER 3M EC847 TECHNICAL DATA SHEET, INSTALLATION S/B WHILE ADHESIVE IS STILL WET OR AGGRESSIVELY TACKY AFTER ANALYSIS, QTY 66 VELCRO HOOKS WERE INSTALLED FOLLOWING MANUFACTURER'S INSTRUCTIONS (ADHESIVE STILL WET). PREVIOUS STATEMENT MEANS THAT INSTALLATION WAS NOT PERFORMED AS PER BAPS. NOTES: _` CONSIDER QTY 66 HOOKS REPRESENT EVERY HOOK PAD IN ASSEMBLY; EVERY HOOK PAD IS INSTALLED THE SAME WAY. _` NO DISBONDMENT OR ANY OTHER DEFECT WAS FOUND ON ANY HOOK PAD AFTER INSTALLATION: ALL FOUND CONFORMANT. _` METHODS INVESTIGATION SHOWING TEST RESULTS IS ATTACHED. CONSIDER ACTUAL REPORTED CONDITION CORRESPONDS TO VELCRO TEST SPECIMEN #2 (NO ISSUES FOUND AFTER INSTALLATION). REFER TO ATTACHMENTS FOR MORE DETAILS.",6
"97","Q321008908-1","DESIGN* REFER TO NCR Q321005154, Q321005967, Q321006862, Q321008659, Q321008661 FOR SAME REPETITIVE DISCREPANCY THIS NCR REQUIRES AN EXTENSION TO COVER UP TO A/C 70114 A DISCREPANCY WAS FOUND BETWEEN BAPS 155_`005, REV. A, AND MANUFACTURER'S HANDLING INFORMATION FOR EC847 ADHESIVE, USED FOR QTY 66 VELCRO HOOK INSTALLATION (AS PER ENGINEERING DRAWING G05364510, REV. J). AS PER BAPS 155_`005, REV. A, TO PERFORM INSTALLATION ALLOW ADHESIVE DRY UNTIL TACKY AS PER 3M EC847 TECHNICAL DATA SHEET, INSTALLATION S/B WHILE ADHESIVE IS STILL WET OR AGGRESSIVELY TACKY AFTER ANALYSIS, QTY 66 VELCRO HOOKS WERE INSTALLED FOLLOWING MANUFACTURER'S INSTRUCTIONS (ADHESIVE STILL WET). PREVIOUS STATEMENT MEANS THAT INSTALLATION WAS NOT PERFORMED AS PER BAPS. NOTES: _` CONSIDER QTY 66 HOOKS REPRESENT EVERY HOOK PAD IN ASSEMBLY; EVERY HOOK PAD IS INSTALLED THE SAME WAY. _` NO DISBONDMENT OR ANY OTHER DEFECT WAS FOUND ON ANY HOOK PAD AFTER INSTALLATION: ALL FOUND CONFORMANT. _` METHODS INVESTIGATION SHOWING TEST RESULTS IS ATTACHED. CONSIDER ACTUAL REPORTED CONDITION CORRESPONDS TO VELCRO TEST SPECIMEN #2 (NO ISSUES FOUND AFTER INSTALLATION). REFER TO ATTACHMENTS FOR MORE DETAILS.",6
"73","Q321006935-1","METHODS* REFER TO NCR Q320020980, Q320021111, Q320022121, Q321006421 FOR REPETITIVE DISCREPANCY, SAME LOCATION THIS NCR REQUIRES AN EXTENSION FOR 12 A/C TO COVER FROM 70104 TO 70115 IDENT TAPE, FUEL SYSTEM LINE (B0314020_`003) [FROM ENGINEERING DRAWING G02895104, REV. E) IS NOT FULLY VISIBLE SINCE IT HAS BEEN TRAPPED UNDERNEATH CLAMP, SADDLE (B0305064_`02DC24NB) [FROM ENGINEERING DRAWING G02895000, REV. K]. NOTES: _` IDENT TAPE INSTALLATION IS FULLY CONFORMANT WITH BAPS 144_`010. _` FUEL VENT INSTALLATION IS FULLY CONFORMANT WITH G02895000, REV. K DRAWING. _` BRACKET ASSY, ISOLATING (G05372826_`001) INSTALLATION IS FULLY CONFORMANT WITH G05372801, REV. G DRAWING. _` IN REFERENCE TO PREVIOUS NCR ON THIS CONDITION, LABEL CANNOT BE RELOCATED 2.500"" _` 3.000"" AWAY IN ANY DIRECTIN (THAT LOCATION WOULD IMPLY LABEL LOCATION TO BE ON TUBE BEND) AS PER TYP ENGINEERING DISPOSITION ON REFERENCE NCR. PRODUCTION SUGGESTS LABEL TO BE RELOCATED 1.350"" AWAY FROM ACTUAL LOCATION TO PREVENT ANY FOULING/CLASHING CONDITION WITH CLAMP. REFER TO ATTACHMENTS FOR MORE DETAILS.",10
"49","Q321005489-1","METHODS* REFER TO NCR Q321005455, Q321005496, Q321005488 FOR SAME DISCREPANT CONDITION BUSHING, FLANGED, INTERFERENCE FIT (B0309014AK06_`012) ON FITTING ASSY, ECS PACK (G05372301_`003/_`004) IS OPENED TO UNDERSIZE DIAMETER. AS PER ENGINEERING DRAWING G05372104, REV. F, HOLE DIA. S/B 0.3750"" TO 0.3758"" ACTUAL CONDITION ON QTY 4 INSTALLED BUSHINGS IN ASSY IS 0.3620"" NOTES: _` B/P TO BE INSTALLED IS B0309017_`04_`033. _` QTY 4 INSTALLED BUSHINGS ARE AFFECTED (QTY 2 LHS, QTY 2 RHS) _____ IMPORTANT: ACTUAL UNDERSIZE HOLE WAS REQUIRED BY METHODS MANUFACTURING STRATEGY, IN ORDER TO OPEN FULL SIZE DIAMETER ON_`SITE AFTER REMAINING ENGINEERING DRAWING G05372104, REV. F, WAS COMPLETED. NEVERTHELESS, OPERATION FOR FULL SIZE DRILLING WAS NOT PLANNED. SNC IS CREATED IN ORDER TO DOCUMENT CURRENTLY MISSING OPERATION AND ENSURE JOB IS PERFORMED WITHIN DRAWING TOLERANCES. REFER TO ATTACHMENTS FOR MORE DETAILS. PLEASE ADVISE.",9
"45","Q321005154-1","DESIGN* A DISCREPANCY WAS FOUND BETWEEN BAPS 155_`005, REV. A, AND MANUFACTURER'S HANDLING INFORMATION FOR EC847 ADHESIVE, USED FOR QTY 66 VELCRO HOOK INSTALLATION (AS PER ENGINEERING DRAWING G05364510, REV. J). AS PER BAPS 155_`005, REV. A, TO PERFORM INSTALLATION ALLOW ADHESIVE DRY UNTIL TACKY AS PER 3M EC847 TECHNICAL DATA SHEET, INSTALLATION S/B WHILE ADHESIVE IS STILL WET OR AGGRESSIVELY TACKY AFTER ANALYSIS, QTY 66 VELCRO HOOKS WERE INSTALLED FOLLOWING MANUFACTURER'S INSTRUCTIONS (ADHESIVE STILL WET). PREVIOUS STATEMENT MEANS THAT INSTALLATION WAS NOT PERFORMED AS PER BAPS. NOTES: _` CONSIDER QTY 66 HOOKS REPRESENT EVERY HOOK PAD IN ASSEMBLY; EVERY HOOK PAD IS INSTALLED THE SAME WAY. _` NO DISBONDMENT OR ANY OTHER DEFECT WAS FOUND ON ANY HOOK PAD AFTER INSTALLATION: ALL FOUND CONFORMANT. _` METHODS INVESTIGATION SHOWING TEST RESULTS IS ATTACHED. CONSIDER ACTUAL REPORTED CONDITION CORRESPONDS TO VELCRO TEST SPECIMEN #2 (NO ISSUES FOUND AFTER INSTALLATION). REFER TO ATTACHMENTS FOR MORE DETAILS.",6
"85","Q321006980-1","METHODS* LOCATION: FS 897 STR 19 SIDE R/H. EXIST GAP CONDITION BETWEEN BRACKET, FUEL SYSTEM (G05372719_`101_`01) TO TUBE ASSY, RESTRICTOR, REFUEL/DEFUEL (G02897104_`011). ACTUAL CONDITION: MAX. GAP #1 IS 0.060‚<U+0080>ù MAX. GAP #2 IS 0.013‚<U+0080>ù NOTE: NCR REFFER Q321006963_`001 TO A/C 70100 SEE ATTACHMENTS FOR DETAILS",8
