"","Issue","top_word"
"1",4,"g05530405"
"2",7,"mooring"
"3",7,"g05363926"
"4",7,"positionate"
"5",7,"not"
"6",7,"beetwen"
"7",5,"badp"
"8",5,"g05372444"
"9",5,"conductivity"
"10",5,"test"
"11",5,"limit"
"12",5,"require"
"13",5,"g05372105"
"14",5,"bonding"
"15",5,"bap"
"16",5,"code"
"17",5,"gx830108215"
"18",5,"1200"
"19",5,"milliohm"
"20",3,"q321004209"
"21",3,"achieve"
"22",3,"installation"
"23",3,"dorsal"
"24",3,"fair"
"25",3,"g05530300"
"26",3,"g05530232"
"27",3,"trim"
"28",3,"angles"
"29",3,"channel"
"30",3,"g05530230"
"31",3,"clearance"
"32",3,"minimum"
"33",3,"b0205017ad3"
"34",1,"misalign"
"35",1,"draw"
"36",1,"g05363921"
"37",1,"requirement"
"38",1,"misalignment"
"39",1,"step"
"40",6,"g05363963"
"41",6,"outbd"
"42",6,"inbd"
"43",4,"gaps"
"44",4,"apply"
"45",4,"force"
"46",4,"laminate"
"47",4,"g05363973"
"48",2,"platform"
"49",2,"g05361003"
"50",6,"g05363965"
"51",6,"g05363964"
"52",5,"q321001051"
"53",4,"contact"
"54",4,"piece"
"55",2,"0098"
"56",1,"g05361742"
"57",1,"g05363629"
"58",1,"g05363951"
"59",1,"g05363954"
"60",4,"she"
"61",4,"g05363972"
"62",4,"q320023481"
"63",1,"g05361757"
"64",1,"g05363667"
"65",2,"size"
"66",1,"g05363669"
"67",1,"g05363952"
"68",1,"g05363627"
"69",1,"gap"
"70",1,"g05363953"
"71",3,"b02017ad3"
"72",2,"elongate"
"73",2,"longeron"
"74",2,"g05363602"
"75",1,"g05363664"
"76",1,"g05361718"
"77",1,"g05363666"
"78",2,"g05530214"
"79",2,"drag"
"80",7,"stage"
"81",7,"drill"
"82",2,"g05363430"
"83",2,"elongated"
"84",2,"strap"
"85",2,"g05363609"
"86",2,"g05361001"
"87",6,"reference"
"88",6,"q321006577"
"89",3,"0330"
"90",3,"matt"
"91",3,"adjacend"
"92",4,"q321007829"
"93",2,"elongation"
"94",2,"no"
"95",2,"g05363960"
"96",2,"g05362206"
"97",2,"g05363961"
"98",2,"g05379184"
"99",2,"bracket"
"100",2,"ground"
"101",2,"g05362167"
"102",2,"1072"
"103",2,"b0205020e5"
"104",2,"g05363447"
"105",2,"g05394060"
"106",2,"g05363477"
"107",2,"styr"
"108",2,"g05362042"
"109",6,"g05363135"
"110",2,"relief"
"111",2,"dril"
"112",2,"operation"
"113",6,"1000"
"114",2,"3230"
"115",6,"b0206002ag5"
"116",2,"3430"
"117",2,"fram"
"118",2,"damage"
"119",2,"depth"
"120",2,"chamfer"
"121",6,"attachtman"
"122",1,"attchment"
