"RNC","word","lemma","upos"
"Q321008110-3","investigation","investigation","NOUN"
"Q321008110-3","zones","zones","NOUN"
"Q321008110-3","clearances","clearance","NOUN"
"Q321008110-3","frame","frame","NOUN"
"Q321008110-3","mount","mount","NOUN"
"Q321008110-3","fuse","fuse","NOUN"
"Q321008110-3","g05366002","g05366002","NUM"
"Q321008110-3","stringers","stringer","NOUN"
"Q321008110-3","length","length","NOUN"
"Q321008110-3","0.350","0.350","NUM"
"Q321008110-3","condition","condition","NOUN"
"Q321008110-3","0.395","0.395","NUM"
"Q321008110-3","0.390","0.390","NUM"
"Q321008110-3","stringer","stringer","NOUN"
"Q321008110-3","g05362137","g05362137","NUM"
"Q321008110-3","g05362138","g05362138","NUM"
"Q321008110-3","note","note","NOUN"
"Q321008110-3","installation","installation","NOUN"
"Q321008110-3","drawing","draw","VERB"
"Q321008110-3","g05362000","g05362000","NUM"
"Q321008110-2","investigation","investigation","NOUN"
"Q321008110-2","location","location","NOUN"
"Q321008110-2","1016","1016","NUM"
"Q321008110-2","sgtr","sgtr","VERB"
"Q321008110-2","exist","exist","VERB"
"Q321008110-2","clearance","clearance","NOUN"
"Q321008110-2","frame","frame","NOUN"
"Q321008110-2","fuse","fuse","NOUN"
"Q321008110-2","g05362177","g05362177","NUM"
"Q321008110-2","length","length","NOUN"
"Q321008110-2","0.300","0.300","NUM"
"Q321008110-2","0.027","0.027","NUM"
"Q321008110-2","catia","catia","NOUN"
"Q321008110-2","model","model","NOUN"
"Q321008110-2","information","information","NOUN"
"Q321008110-2","clearances","clearance","NOUN"
"Q321008110-2","stgrs","stgr","NOUN"
"Q321008110-2","stringer","stringer","NOUN"
"Q321008110-2","0.220","0.220","NUM"
"Q321008110-2","0.250","0.250","NUM"
"Q321008110-2","0.150","0.150","NUM"
"Q321008110-2","note","note","NOUN"
"Q321008110-2","skin","skin","NOUN"
"Q321008110-2","g05362000","g05362000","NUM"
"Q321008110-2","installed","install","VERB"
"Q321008110-2","g05360010","g05360010","NUM"
"Q321008110-2","condition","condition","NOUN"
"Q321008110-2","q321000404","q321000404","NUM"
"Q321008110-1","discussion","discussion","NOUN"
"Q321008110-1","location","location","NOUN"
"Q321008110-1","1016","1016","NUM"
"Q321008110-1","sgtr","sgtr","VERB"
"Q321008110-1","exist","exist","VERB"
"Q321008110-1","clearance","clearance","NOUN"
"Q321008110-1","frame","frame","NOUN"
"Q321008110-1","fuse","fuse","NOUN"
"Q321008110-1","g05362177","g05362177","NUM"
"Q321008110-1","length","length","NOUN"
"Q321008110-1","0.350","0.350","NUM"
"Q321008110-1","0.009","0.009","NUM"
"Q321008110-1","catia","catia","NOUN"
"Q321008110-1","model","model","NOUN"
"Q321008110-1","information","information","NOUN"
"Q321008110-1","clearances","clearance","NOUN"
"Q321008110-1","stgrs","stgr","NOUN"
"Q321008110-1","stringer","stringer","NOUN"
"Q321008110-1","0.200","0.200","NUM"
"Q321008110-1","0.190","0.190","NUM"
"Q321008110-1","0.220","0.220","NUM"
"Q321008110-1","0.180","0.180","NUM"
"Q321008110-1","note","note","NOUN"
"Q321008110-1","panel","panel","NOUN"
"Q321008110-1","assy","assy","NOUN"
"Q321008110-1","g05362500","g05362500","NUM"
"Q321008110-1","installed","install","VERB"
"Q321008110-1","g05360010","g05360010","NUM"
"Q321008110-1","condition","condition","NOUN"
"Q321008162-1","location","location","NOUN"
"Q321008162-1","fs833","fs833","NUM"
"Q321008162-1","q320022895","q320022895","NUM"
"Q321008162-1","required","require","VERB"
"Q321008162-1","extension","extension","NOUN"
"Q321008162-1","avoid","avoid","VERB"
"Q321008162-1","damage","damage","NOUN"
"Q321008162-1","skin","skin","NOUN"
"Q321008162-1","frames","frame","NOUN"
"Q321008162-1","exist","exist","VERB"
"Q321008162-1","quantity","quantity","NOUN"
"Q321008162-1","mismatch","mismatch","NOUN"
"Q321008162-1","0.040","0.040","NUM"
"Q321008162-1","hole","hole","NOUN"
"Q321008162-1","splice","splice","NOUN"
"Q321008162-1","orbital","orbital","NOUN"
"Q321008162-1","g05362013","g05362013","NUM"
"Q321008162-1","strap","strap","NOUN"
"Q321008162-1","g05362540","g05362540","NUM"
"Q321008162-1","g05362120","g05362120","NUM"
"Q321008162-1","holes","hole","NOUN"
"Q321008162-1","discrepancies","discrepancy","NOUN"
"Q321008162-1","refer","refer","VERB"
"Q321008162-1","g05360020","g05360020","NUM"
"Q321008162-1","drilled","drill","VERB"
"Q321008162-1","diameter","diameter","VERB"
"Q321008162-1","stage","stage","NOUN"
"Q321008162-1","instruction","instruction","NOUN"
"Q321008162-1","gx820802140","gx820802140","NUM"
"Q321008162-1","2369562","2369562","NUM"
"Q321008162-1","g05360000","g05360000","NUM"
"Q321008162-1","page","page","NOUN"
"Q321008162-1","pilot","pilot","NOUN"
"Q321008162-1","fastener","fastener","NOUN"
"Q321008162-1","collar","collar","NOUN"
"Q321008162-1","b0203013","b0203013","NUM"
"Q321008162-1","note","note","NOUN"
"Q321008162-1","production","production","NOUN"
"Q321008162-1","fabricate","fabricate","VERB"
"Q321008162-1","joint","joint","NOUN"
"Q321008162-1","fuse","fuse","NOUN"
"Q321008162-1","aspects","aspect","NOUN"
"Q321008162-1","eliminate","eliminate","VERB"
"Q321008162-1","condition","condition","NOUN"
"Q321008162-1","assembly","assembly","NOUN"
"Q321008162-1","details","detail","NOUN"
"Q321008203-2","gaps","gap","NOUN"
"Q321008203-2","assy","assy","NOUN"
"Q321008203-2","location","location","NOUN"
"Q321008203-2","71.10","71.10","NUM"
"Q321008203-2","897.00","897.00","NUM"
"Q321008203-2","affected","affect","VERB"
"Q321008203-2","g05364275","g05364275","NUM"
"Q321008203-2","g05365500","g05365500","NUM"
"Q321008203-2","length","length","NOUN"
"Q321008203-2","g05364111","g05364111","NUM"
"Q321008203-2","g05364161","g05364161","NUM"
"Q321008203-2","g05364110","g05364110","NUM"
"Q321008203-2","g05364204","g05364204","NUM"
"Q321008203-2","g05364112","g05364112","NOUN"
"Q321008203-2","g05364178","g05364178","NUM"
"Q321008203-2","g05364113","g05364113","NOUN"
"Q321008203-2","found","find","VERB"
"Q321008203-2","holes","hole","NOUN"
"Q321008203-2","position","position","NOUN"
"Q321008203-2","floor","floor","NOUN"
"Q321008203-2","note","note","NOUN"
"Q321008203-2","inspection","inspection","NOUN"
"Q321008203-2","weslock","weslock","NOUN"
"Q321008203-2","fixed","fix","VERB"
"Q321008203-2","assy","assy","VERB"
"Q321008252-1","discussion","discussion","NOUN"
"Q321008252-1","zones","zones","NOUN"
"Q321008252-1","clerances","clerance","NOUN"
"Q321008252-1","fouling","foul","VERB"
