"RNC","word","lemma","upos"
"Q321008278-1","refer","refer","VERB"
"Q321008278-1","g05450053","g05450053","NUM"
"Q321008278-1","assy","assy","NOUN"
"Q321008278-1","center","center","NOUN"
"Q321008278-1","pylon","pylon","NOUN"
"Q321008278-1","exists","exist","VERB"
"Q321008278-1","damages","damage","NOUN"
"Q321008278-1","holes","hole","NOUN"
"Q321008278-1","skin","skin","NOUN"
"Q321008278-1","condition","condition","NOUN"
"Q321008278-1","hole","hole","NOUN"
"Q321008278-1","pitch","pitch","NOUN"
"Q321008278-1","0.830","0.830","NUM"
"Q321008278-1","0.170","0.170","NUM"
"Q321008278-1","clean","clean","VERB"
"Q321008278-1","0.960","0.960","NUM"
"Q321008278-1","0.201","0.201","NUM"
"Q321008278-1","0.870","0.870","NUM"
"Q321008278-1","clip","clip","NOUN"
"Q321008278-1","0.350","0.350","NUM"
"Q321008278-1","fitting","fitting","NOUN"
"Q321008278-1","0.098","0.098","NUM"
"Q321008278-1","0.300","0.300","NUM"
"Q321008278-1","0.340","0.340","NUM"
"Q321008296-1","hole","hole","NOUN"
"Q321008296-1","drag","drag","NOUN"
"Q321008296-1","angle","angle","NOUN"
"Q321008296-1","location","location","NOUN"
"Q321008296-1","999.00","999.00","NUM"
"Q321008296-1","affected","affect","VERB"
"Q321008296-1","g05450606","g05450606","NUM"
"Q321008296-1","pylon","pylon","NOUN"
"Q321008296-1","g05362500","g05362500","NUM"
"Q321008296-1","panel","panel","NOUN"
"Q321008296-1","assy","assy","NOUN"
"Q321008296-1","fuse","fuse","NOUN"
"Q321008296-1","g05362370","g05362370","NUM"
"Q321008296-1","frame","frame","NOUN"
"Q321008296-1","fs999.00","fs999.00","NUM"
"Q321008296-1","diameter","diameter","NOUN"
"Q321008296-1","found","find","VERB"
"Q321008296-1","clean","clean","VERB"
"Q321008296-1","pitch","pitch","NOUN"
"Q321008296-2","holes","holes","NOUN"
"Q321008296-2","assy","assy","NOUN"
"Q321008296-2","location","location","NOUN"
"Q321008296-2","961.45","961.45","NUM"
"Q321008296-2","1016.66","1016.66","NUM"
"Q321008296-2","affected","affect","VERB"
"Q321008296-2","g05450605","g05450605","NUM"
"Q321008296-2","angle","angle","NOUN"
"Q321008296-2","drag","drag","NOUN"
"Q321008296-2","pylon","pylon","NOUN"
"Q321008296-2","panel","panel","NOUN"
"Q321008296-2","barrel","barrel","NOUN"
"Q321008296-2","fuse","fuse","NOUN"
"Q321008296-2","g05362500","g05362500","NUM"
"Q321008296-2","g05361867","g05361867","NUM"
"Q321008296-2","doubler","doubler","NOUN"
"Q321008296-2","frame","frame","NOUN"
"Q321008296-2","mount","mount","NOUN"
"Q321008296-2","g05363445","g05363445","NUM"
"Q321008296-2","splice","splice","NOUN"
"Q321008296-2","g05362272","g05362272","NUM"
"Q321008296-2","stringer","stringer","NOUN"
"Q321008296-2","extension","extension","NOUN"
"Q321008296-2","hole","hole","NOUN"
"Q321008296-2","diameter","diameter","NOUN"
"Q321008296-2","0.186","0.186","NUM"
"Q321008296-2","pitch","pitch","NOUN"
"Q321008296-2","0.182","0.182","NUM"
"Q321008348-1","hole","hole","NOUN"
"Q321008348-1","location","location","NOUN"
"Q321008348-1","961.45","961.45","NUM"
"Q321008348-1","affected","affect","VERB"
"Q321008348-1","g05450605","g05450605","NUM"
"Q321008348-1","angle","angle","NOUN"
"Q321008348-1","drag","drag","NOUN"
"Q321008348-1","pylon","pylon","NOUN"
"Q321008348-1","g05362500","g05362500","NUM"
"Q321008348-1","panel","panel","NOUN"
"Q321008348-1","assy","assy","NOUN"
"Q321008348-1","fuse","fuse","NOUN"
"Q321008348-1","g05362272","g05362272","NUM"
"Q321008348-1","stringer","stringer","NOUN"
"Q321008348-1","extension","extension","NOUN"
"Q321008348-1","g05361867","g05361867","NUM"
"Q321008348-1","doubler","doubler","NOUN"
"Q321008348-1","diameter","diameter","NOUN"
"Q321008362-1","location","location","NOUN"
"Q321008362-1","1048","1048","NUM"
"Q321008362-1","1060","1060","NUM"
"Q321008362-1","strg","strg","VERB"
"Q321008362-1","clearance","clearance","NOUN"
"Q321008362-1","bolt","bolt","NOUN"
"Q321008362-1","fouling","foul","VERB"
"Q321008362-1","condition","condition","NOUN"
"Q321008362-1","barrel","barrel","NOUN"
"Q321008362-1","g05363210","g05363210","NUM"
"Q321008362-1","b0206002ad5","b0206002ad5","NUM"
"Q321008362-1","0.160","0.160","NUM"
"Q321008362-1","1.100","1.100","NUM"
"Q321008362-1","0.265","0.265","NUM"
"Q321008362-1","g05450606","g05450606","NUM"
