NCR #,Issue,Disc
Q321003197-1,6,"METHODS* EXIST QTY (14) HOLE OVER SIZE IN SKIN, TOP, FWD (G05394064_`101) S/B .169â / .175â B/P NAS1102E08_`08 AND NAS1169_`C8 COMMON TO ANGLE, FAIRING, REAR FUSE TAILCONE FWD (GD238_`6624_`3) AND ANGLE, FAIRING, REAR FUSE TAILCONE FWD (GD238_`6624_`4) ACTUAL CONDITION DIA .200â G&R IN SKIN DIA .226â IN ANLES (CAME FROM SUPPLY) ED N/A IN SKIN ED IN ANGLES .400â MIN PITCH .750â SEE ATTACHMENT FOR DETAILS"
Q321003282-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321003288-1,5,"METHODS* THERE IS A LOW CLEARANCE BWTN FRAME 6, INBD RH, TAILCONE APU ACS DOOR (GD238_`6318_`1) & SURROUND ANGLE, MID LWR RH, TAILCONE (GD238_`6342_`7) B/P NAS9309ML_`4_`02 ADJACENT FASTENER. CLEARANCE .029â SEE ATTACHMENT FOR DETAILS"
Q321003304-1,4,"METHODS* SKINS SKIN, RH FWD, SUB ASSY (G05394080_`005) AND SKIN, LH FWD, SUB ASSY (G05394001_`007) IT IS NOT POSSIBLE TO MEET THE REQUIREMENTS OF THE DWG (G05394000) NOTE: 34, DUE TO THE CONFIGURATION OF FIRESHIELD OVERLAPS ON THE SKINS B/P NAS9309ML_`4 SKIN, RH FWD, SUB ASSY (G05394080_`005) COMMON PARTS FIRESHIELD, CTR, SIDE (G05394042_`101) SKIN, LATERAL, RH (G05394060_`107) FIRESHIELD, UPPER, SIDE (G05394043_`103) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) QTY 3 PARTS SKIN, LH FWD, SUB ASSY (G05394001_`007) FIRESHIELD, UPPER REAR LH, TAILCONE FWD (GD238_`8099_`1) FIRESHIELD, UPPER L/H, TAILCONE AFT (GD238_`8004_`1) FIRESHIELD, CENTER SIDE LH, TAILCONE FWD (GD238_`8097_`1) FIRESHIELD, UPPER SIDE LH/RH, TAILCONE (GD238_`8002_`1) STRIP, FIRESHIELD, TAILCONE (G05394109_`101) QTY 3 STRIP, FIRESHIELD, TAILCONE (G05394108_`101) NOTE: IS NOT DRILLED SEE ATTACHMENT FOR DETAILS"
Q321003492-1,2,"METHODS* M_`BA EXIST QTY (3) LATCH OUT OF TOLERANCE OF STEP AS PER DRAWING G00606301 TOLERANCE S/B +0.010""/_`0.015"" ACTUAL CONDITION LATCH 1 MAX STEP IS .014"" MIN STEP IS _`.014"" LATCH 2 MAX STEP IS .030"" MIN STEP IS _`.006"" LATCH 3 MAX STEP IS .025"" MIN STEP IS .008"" SEE ATTACHMENTS FOR DETAIL"
Q321003714-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321003722-1,6,"METHODS* EXIST QTY (14) HOLE OVER SIZE IN SKIN, TOP, FWD (G05394064_`101) S/B .169â / .175â B/P NAS1102E08_`08 AND NAS1169_`C8 COMMON TO ANGLE, FAIRING, REAR FUSE TAILCONE FWD (GD238_`6624_`3) AND ANGLE, FAIRING, REAR FUSE TAILCONE FWD (GD238_`6624_`4) ACTUAL CONDITION DIA .200â G&R IN SKIN DIA .226â IN ANLES (CAME FROM SUPPLY) ED N/A IN SKIN ED IN ANGLES .400â MIN PITCH .750â SEE ATTACHMENT FOR DETAILS"
Q321003844-1,4,"METHODS* SKINS SKIN, RH FWD, SUB ASSY (G05394080_`005) AND SKIN, LH FWD, SUB ASSY (G05394001_`007) IT IS NOT POSSIBLE TO MEET THE REQUIREMENTS OF THE DWG (G05394000) NOTE: 34, DUE TO THE CONFIGURATION OF FIRESHIELD OVERLAPS ON THE SKINS B/P NAS9309ML_`4 SKIN, RH FWD, SUB ASSY (G05394080_`005) COMMON PARTS FIRESHIELD, CTR, SIDE (G05394042_`101) SKIN, LATERAL, RH (G05394060_`107) FIRESHIELD, UPPER, SIDE (G05394043_`103) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) QTY 3 PARTS SKIN, LH FWD, SUB ASSY (G05394001_`007) FIRESHIELD, UPPER REAR LH, TAILCONE FWD (GD238_`8099_`1) FIRESHIELD, UPPER L/H, TAILCONE AFT (GD238_`8004_`1) FIRESHIELD, CENTER SIDE LH, TAILCONE FWD (GD238_`8097_`1) FIRESHIELD, UPPER SIDE LH/RH, TAILCONE (GD238_`8002_`1) STRIP, FIRESHIELD, TAILCONE (G05394109_`101) QTY 3 STRIP, FIRESHIELD, TAILCONE (G05394108_`101) NOTE: IS NOT DRILLED SEE ATTACHMENT FOR DETAILS"
Q321003888-1,3,"METHODS* IN TAILCONE, GA G05390000_`001 EXIST QTY (35) OUT OF TOLERANCE GAPS (13) POINTS DR R/H GAPS (13) POINTS DR L_`H STEPS (4) POINT DR L/H STEP (4) POINT DR R/H STEPS (1) POINTS BTWN DOORS âSTEPS RHSâ ACTUAL CONDITION APU DOOR RH INVOLVED PARTS G05393200_`009 APU DOOR RH G05394060_`105 SKIN FWD RH G05392171_`103 SKIN AFT RH ""STEPS LHS"" ACTUAL CONDITION APU DOOR LH INVOLVED PARTS G05393100_`011 APU DOOR LH G05394063_`105 SKIN FWD LH G05392169_`103 SKIN AFT LH NOTE: THE STEPS AND GAPS WERE MEASURED EACH 3 INCHES NOT EXIST MISMATCH BETWEEN FITTINGS AND SURROUND SEE ATTACHMENT FOR DETAILS"
Q321004551-1,3,"METHODS* IN TAILCONE, GA G05390000_`001 EXIST QTY (11) OUT OF TOLERANCE STEPS (3) POINTS DR R_`H STEPS (3) POINTS DR L_`H STEPS (5) POINTS BTWN DOORS âSTEPS RHSâ ACTUAL CONDITION APU DOOR RH INVOLVED PARTS G05393200_`009 APU DOOR RH G05394060_`105 SKIN FWD RH G05392171_`103 SKIN AFT RH ""STEPS LHS"" ACTUAL CONDITION APU DOOR LH INVOLVED PARTS G05393100_`011 APU DOOR LH G05394063_`105 SKIN FWD LH G05392169_`103 SKIN AFT LH NOTE: THE STEPS AND GAPS WERE MEASURED EACH 3 INCHES NOT EXIST MISMATCH BETWEEN FITTINGS AND SURROUND SEE ATTACHMENT FOR DETAILS"
Q321004880-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321005055-1,3,"METHODS* IN TAILCONE, GA G05390000_`001 EXIST QTY (19) POINT WITH GAP OUT OF TOLERANCE AND QTY (11) POINT WITH GSTEP OUT OF TOLERANCE GAPS (6) POINTS DR R/H GAPS (12) POINTS DR L_`H GAPS (1) POINTS BTWN DOORS STEPS (7) POINT DR L/H STEP (3) POINT DR R/H STEPS (1) POINTS BTWN DOORS âSTEPS RHSâ ACTUAL CONDITION APU DOOR RH INVOLVED PARTS G05393200_`009 APU DOOR RH G05394060_`105 SKIN FWD RH G05392171_`103 SKIN AFT RH ""STEPS LHS"" ACTUAL CONDITION APU DOOR LH INVOLVED PARTS G05393100_`011 APU DOOR LH G05394063_`105 SKIN FWD LH G05392169_`103 SKIN AFT LH NOTE: THE STEPS AND GAPS WERE MEASURED EACH 3 INCHES NOT EXIST MISMATCH BETWEEN FITTINGS AND SURROUND SEE ATTACHMENT FOR DETAILS"
Q321005281-1,3,"METHODS* SKINS SKIN, RH FWD, SUB ASSY (G05394080_`005) AND SKIN, LH FWD, SUB ASSY (G05394001_`007) IT IS NOT POSSIBLE TO MEET THE REQUIREMENTS OF THE DWG (G05394000) NOTE: 34, DUE TO THE CONFIGURATION OF FIRESHIELD OVERLAPS ON THE SKINS B/P NAS9309ML_`4 SKIN, RH FWD, SUB ASSY (G05394080_`005) COMMON PARTS FIRESHIELD, CTR, SIDE (G05394042_`101) SKIN, LATERAL, RH (G05394060_`107) FIRESHIELD, UPPER, SIDE (G05394043_`103) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) QTY 1 WAS REPLACED BY G05394107_`101 AND G05394106_`101 AS SHOWN IN THE PICTURE SKIN, LH FWD, SUB ASSY (G05394001_`007) FIRESHIELD, UPPER REAR LH, TAILCONE FWD (GD238_`8099_`1) FIRESHIELD, UPPER L/H, TAILCONE AFT (GD238_`8004_`1) FIRESHIELD, CENTER SIDE LH, TAILCONE FWD (GD238_`8097_`1) FIRESHIELD, UPPER SIDE LH/RH, TAILCONE (GD238_`8002_`1) STRIP, FIRESHIELD, TAILCONE (G05394109_`101) QTY 2 STRIP, FIRESHIELD, TAILCONE (G05394108_`101) NOTE FOR LH SIDE THE STRIP WERE POSITIONED AS SHOWN IN THE PICTURE SEE ATTACHMENT FOR DETAILS"
Q321005283-1,1,METHODS* (M_`CB) NCR REFERENCE Q321003714 THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321005656-1,3,"METHODS* REF, NCR Q321005055 IN TAILCONE, GA G05390000_`001 EXIST QTY (6) POINT WITH GAP OUT OF TOLERANCE AND QTY (10) POINT WITH STEP OUT OF TOLERANCE GAPS (3)POINTS DR R_`H GAPS (3) POINTS DR L_`H STEPS (6) POINTS DR L/H STEP (1) POINT DR R/H STEPS (3) POINTS BTWN DOORS âSTEPS RHSâ ACTUAL CONDITION APU DOOR RH INVOLVED PARTS G05393200_`009 APU DOOR RH G05394060_`105 SKIN FWD RH G05392171_`103 SKIN AFT RH ""STEPS LHS"" ACTUAL CONDITION APU DOOR LH INVOLVED PARTS G05393100_`011 APU DOOR LH G05394063_`105 SKIN FWD LH G05392169_`103 SKIN AFT LH NOTE: THE STEPS AND GAPS WERE MEASURED EACH 3 INCHES NOT EXIST MISMATCH BETWEEN FITTINGS AND SURROUND SEE ATTACHMENT FOR DETAILS"
Q321005701-1,4,"METHODS* SKINS SKIN, RH FWD, SUB ASSY (G05394080_`005) AND SKIN, LH FWD, SUB ASSY (G05394001_`007) IT IS NOT POSSIBLE TO MEET THE REQUIREMENTS OF THE DWG (G05394000) NOTE: 34, DUE TO THE CONFIGURATION OF FIRESHIELD OVERLAPS ON THE SKINS B/P NAS9309ML_`4 SKIN, RH FWD, SUB ASSY (G05394080_`005) COMMON PARTS FIRESHIELD, CTR, SIDE (G05394042_`101) SKIN, LATERAL, RH (G05394060_`107) FIRESHIELD, UPPER, SIDE (G05394043_`103) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) QTY (1) WAS REPLACED BY G05394107_`101 AND G05394106_`101 AS SHOWN IN THE PICTURE SKIN, LH FWD, SUB ASSY (G05394001_`007) FIRESHIELD, UPPER REAR LH, TAILCONE FWD (GD238_`8099_`1) FIRESHIELD, UPPER L/H, TAILCONE AFT (GD238_`8004_`1) FIRESHIELD, CENTER SIDE LH, TAILCONE FWD (GD238_`8097_`1) FIRESHIELD, UPPER SIDE LH/RH, TAILCONE (GD238_`8002_`1) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) WAS CUT TO INSTALL QTY (3) HOLES NOTE FOR LH SIDE THE STRIP WERE POSITIONED AS SHOWN IN THE PICTURE SEE ATTACHMENT FOR DETAILS"
Q321005814-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321006164-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321007182-1,7,"METHODS* THERE ARE (QTY. 43) HOLES WITH LOW ED. HOLE 1 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394086_`101 SURROUND STRAP, FRAME G05394082_`105 HOLE 2 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394086_`101 SURROUND STRAP, G05394094_`101 STRAP HOLE 3 TO 4 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394086_`101 SURROUND STRAP, G05394094_`101 STRAP, GD238_`8123_`2 STIFFENER HOLE 5 TO 15 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394094_`101 STRAP, GD238_`8123_`2 STIFFENER HOLE 16 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394094_`101 STRAP, G05394030_`101 FRAME HOLE 17 TO 31 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394094_`101 STRAP, GD238_`8122_`2 STIFFENER HOLE 32 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394094_`101 STRAP, G05394033_`103 FRAME HOLE 33 TO 40 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394094_`101 STRAP, GD238_`8121_`2 STIFFENER HOLE 32 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394094_`101 STRAP, GD238_`7022_`3 SURROUND HOLE 42 TO 43 DAMAGED PART G05394064_`101 SKIN, TOP, FWD ONLY. JOINT PARTS G05394064_`101 SKIN, G05394094_`101 STRAP ADDITIONAL INFO: G05394064_`101 SKIN, TOP, FWD ONLY AFFECTED. ALL OTHER PARTS ARE OK ON THE ED. SEE A"
Q321006477-1,3,"METHODS* REF, NCR Q321005055 IN TAILCONE, GA G05390000_`001 EXIST QTY (48) POINT WITH GAP OUT OF TOLERANCE AND QTY (18) POINT WITH STEP OUT OF TOLERANCE GAPS (17)POINTS DR R_`H GAPS (18) POINTS DRL_`H GAPS (13) POINTS BTWN DOORS STEPS (10) POINTS DR L/H STEP (1) POINT DR R/H STEPS (7) POINTS BTWN DOORS âSTEPS RHSâ ACTUAL CONDITION APU DOOR RH INVOLVED PARTS G05393200_`009 APU DOOR RH G05394060_`105 SKIN FWD RH G05392171_`103 SKIN AFT RH ""STEPS LHS"" ACTUAL CONDITION APU DOOR LH INVOLVED PARTS G05393100_`011 APU DOOR LH G05394063_`105 SKIN FWD LH G05392169_`103 SKIN AFT LH NOTE: THE STEPS AND GAPS WERE MEASURED EACH 3 INCHES NOT EXIST MISMATCH BETWEEN FITTINGS AND SURROUND SEE ATTACHMENT FOR DETAILS"
Q321007103-1,3,"METHODS* REF, NCR Q321005055 AT TAILCONE, GA G05390000_`001 EXIST QTY (19) POINT WITH GAP OUT OF TOLERANCE AND QTY (17) POINT WITH STEP OUT OF TOLERANCE GAPS (10)POINTS DR R_`H GAPS (7) POINTS DR L_`H GAPS (2) POINTS BTWN DOORS STEPS (9) POINTS DR L/H STEP (1) POINT DR R/H STEPS (7) POINTS BTWN DOORS âSTEPS RHSâ ACTUAL CONDITION APU DOOR RH INVOLVED PARTS G05393200_`009 APU DOOR RH G05394060_`105 SKIN FWD RH G05392171_`103 SKIN AFT RH ""STEPS LHS"" ACTUAL CONDITION APU DOOR LH INVOLVED PARTS G05393100_`011 APU DOOR LH G05394063_`105 SKIN FWD LH G05392169_`103 SKIN AFT LH NOTE: THE STEPS AND GAPS WERE MEASURED EACH 3 INCHES NOT EXIST MISMATCH BETWEEN FITTINGS AND SURROUND SEE ATTACHMENT FOR DETAILS"
Q321007758-1,3,"METHODS* REF, NCR Q321005055 AT TAILCONE, GA G05390000_`001 EXIST QTY (49) POINT WITH GAP OUT OF TOLERANCE AND QTY (9) POINT WITH STEP OUT OF TOLERANCE GAPS (20)POINTS DR R_`H GAPS (14) POINTS DR L_`H GAPS (15) POINTS BTWN DOORS STEPS (7) POINTS DR L/H STEP (2) POINT DR R/H STEPS (7) POINTS BTWN DOORS âSTEPS RHSâ ACTUAL CONDITION APU DOOR RH INVOLVED PARTS G05393200_`009 APU DOOR RH G05394060_`105 SKIN FWD RH G05392171_`103 SKIN AFT RH ""STEPS LHS"" ACTUAL CONDITION APU DOOR LH INVOLVED PARTS G05393100_`011 APU DOOR LH G05394063_`105 SKIN FWD LH G05392169_`103 SKIN AFT LH NOTE: THE STEPS AND GAPS WERE MEASURED EACH 3 INCHES NOT EXIST MISMATCH BETWEEN FITTINGS AND SURROUND SEE ATTACHMENT FOR DETAILS"
Q321006506-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321006825-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321007234-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321007503-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321007825-1,1,METHODS* (M_`CB) THERE IS A FOULING CONDITION IN DOUBLER (G05393108_`101) WITH CAM (G05393109_`101) SEE ATTACHMENTS FOR DETAILS
Q321006603-1,4,"METHODS* SKINS SKIN, RH FWD, SUB ASSY (G05394080_`005) AND SKIN, LH FWD, SUB ASSY (G05394001_`007) IT IS NOT POSSIBLE TO MEET THE REQUIREMENTS OF THE DWG (G05394000) NOTE: 34, DUE TO THE CONFIGURATION OF FIRESHIELD OVERLAPS ON THE SKINS B/P NAS9309ML_`4 SKIN, RH FWD, SUB ASSY (G05394080_`005) COMMON PARTS FIRESHIELD, CTR, SIDE (G05394042_`101) SKIN, LATERAL, RH (G05394060_`107) FIRESHIELD, UPPER, SIDE (G05394043_`103) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) QTY (1) WAS REPLACED BY G05394107_`101 AND G05394106_`101 AS SHOWN IN THE PICTURE SKIN, LH FWD, SUB ASSY (G05394001_`007) FIRESHIELD, UPPER REAR LH, TAILCONE FWD (GD238_`8099_`1) FIRESHIELD, UPPER L/H, TAILCONE AFT (GD238_`8004_`1) FIRESHIELD, CENTER SIDE LH, TAILCONE FWD (GD238_`8097_`1) FIRESHIELD, UPPER SIDE LH/RH, TAILCONE (GD238_`8002_`1) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) WAS CUT TO INSTALL QTY (3) HOLES NOTE FOR LH SIDE THE STRIP WERE POSITIONED AS SHOWN IN THE PICTURE SEE ATTACHMENT FOR DETAILS"
Q321006850-1,4,"METHODS* SKINS SKIN, RH FWD, SUB ASSY (G05394080_`005) AND SKIN, LH FWD, SUB ASSY (G05394001_`007) IT IS NOT POSSIBLE TO MEET THE REQUIREMENTS OF THE DWG (G05394000) NOTE: 34, DUE TO THE CONFIGURATION OF FIRESHIELD OVERLAPS ON THE SKINS B/P NAS9309ML_`4 SKIN, RH FWD, SUB ASSY (G05394080_`005) COMMON PARTS FIRESHIELD, CTR, SIDE (G05394042_`101) SKIN, LATERAL, RH (G05394060_`107) FIRESHIELD, UPPER, SIDE (G05394043_`103) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) QTY (1) WAS REPLACED BY G05394107_`101 AND G05394106_`101 AS SHOWN IN THE PICTURE SKIN, LH FWD, SUB ASSY (G05394001_`007) FIRESHIELD, UPPER REAR LH, TAILCONE FWD (GD238_`8099_`1) FIRESHIELD, UPPER L/H, TAILCONE AFT (GD238_`8004_`1) FIRESHIELD, CENTER SIDE LH, TAILCONE FWD (GD238_`8097_`1) FIRESHIELD, UPPER SIDE LH/RH, TAILCONE (GD238_`8002_`1) STRIP, FIRESHIELD, TAILCONE (G05394108_`101) WAS CUT TO INSTALL QTY (3) HOLES NOTE FOR LH SIDE THE STRIP WERE POSITIONED AS SHOWN IN THE PICTURE SEE ATTACHMENT FOR DETAILS"
